Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
15/06/2016;0,15;;5;17;24;8;4;1
14/06/2016;0,17;;5;15;22;13;7;1
13/06/2016;0,19;0,19;7;19;30;13;8;1
12/06/2016;0,16;0,17;4;12;18;13;7;1
11/06/2016;0,16;0,17;3;13;18;13;8;1
10/06/2016;0,22;0,22;7;25;35;19;15;1
09/06/2016;0,25;0,26;8;33;46;27;19;1
08/06/2016;0,24;0,23;10;29;44;25;17;1
07/06/2016;0,22;0,21;10;21;36;21;14;1
06/06/2016;0,23;0,23;6;20;28;24;15;1
05/06/2016;0,16;0,16;4;16;22;14;9;1
04/06/2016;0,21;0,23;4;13;19;13;9;1
03/06/2016;0,23;0,21;7;27;37;25;15;1
02/06/2016;0,23;0,23;7;23;35;23;14;1
01/06/2016;0,21;0,22;9;24;37;21;;1
31/05/2016;0,19;0,19;4;19;26;19;12;1
30/05/2016;0,19;0,18;6;19;28;12;6;1
29/05/2016;0,15;0,15;3;12;17;7;4;1
28/05/2016;0,18;0,2;2;11;14;14;8;1
27/05/2016;0,24;0,23;5;21;28;17;10;1
26/05/2016;0,21;0,2;8;30;41;15;9;1
25/05/2016;0,21;0,23;9;26;40;13;7;1
24/05/2016;0,24;0,23;11;26;43;16;9;1
23/05/2016;0,2;0,19;11;21;37;15;7;1
22/05/2016;0,16;0,18;5;16;23;11;6;1
21/05/2016;0,24;0,24;5;25;34;18;12;1
20/05/2016;0,22;0,21;7;26;37;15;10;1
19/05/2016;0,18;0,18;5;19;27;10;6;1
18/05/2016;0,22;0,23;6;24;33;23;14;1
17/05/2016;0,25;0,25;6;26;35;24;14;1
16/05/2016;0,23;0,22;6;26;35;27;15;1
15/05/2016;0,2;0,2;3;13;18;15;9;1
14/05/2016;0,19;0,19;3;15;20;13;8;1
13/05/2016;0,2;0,21;7;26;36;13;7;1
12/05/2016;0,23;0,23;8;25;38;11;7;1
11/05/2016;0,15;0,14;3;16;21;;4;1
10/05/2016;0,13;0,14;4;16;22;8;4;1
09/05/2016;0,14;;3;17;22;7;4;1
08/05/2016;0,14;;1;9;11;8;5;1
07/05/2016;0,14;0,14;2;10;13;9;7;1
06/05/2016;0,13;0,14;2;13;16;18;10;1
05/05/2016;0,2;0,2;11;36;53;24;13;1
04/05/2016;0,23;0,22;20;41;71;21;10;2
03/05/2016;0,19;0,18;8;23;35;14;8;3
02/05/2016;0,2;0,19;11;30;46;12;7;3
01/05/2016;0,13;0,13;6;16;25;7;3;3
30/04/2016;0,13;0,14;6;19;28;9;5;3
29/04/2016;0,18;0,17;13;30;50;11;6;3
28/04/2016;0,15;0,15;4;16;22;7;4;2
27/04/2016;0,15;0,16;5;20;28;13;7;2
26/04/2016;0,18;0,17;8;24;37;16;10;3
25/04/2016;0,15;;7;24;34;14;7;3
24/04/2016;0,14;0,14;6;20;29;9;6;2
23/04/2016;0,16;0,17;8;26;37;14;7;2
22/04/2016;0,25;0,24;24;36;72;19;11;3
21/04/2016;0,17;0,16;3;22;27;10;6;2
20/04/2016;0,13;;1;15;17;9;6;2
19/04/2016;0,23;0,23;16;33;57;19;10;2
18/04/2016;0,17;;5;18;26;11;6;2
17/04/2016;0,12;;2;8;11;5;3;2
16/04/2016;0,14;;2;14;17;6;3;2
15/04/2016;0,18;;5;23;30;7;4;2
14/04/2016;0,18;0,18;3;21;25;8;4;2
13/04/2016;0,17;;1;16;18;5;4;2
12/04/2016;0,21;0,21;12;28;46;7;5;2
11/04/2016;0,17;0,17;5;20;27;4;2;2
10/04/2016;0,16;;1;14;15;6;4;2
09/04/2016;0,19;0,18;5;24;32;7;5;2
08/04/2016;0,15;0,15;6;23;32;6;4;2
07/04/2016;0,15;0,16;6;25;35;7;5;2
06/04/2016;0,16;0,16;7;26;36;11;7;3
05/04/2016;0,16;0,16;16;41;66;7;5;2
04/04/2016;0,17;0,17;6;23;32;6;4;2
03/04/2016;0,16;0,18;2;17;20;8;6;2
02/04/2016;0,22;;4;26;32;9;5;3
01/04/2016;0,15;;8;28;40;8;5;2
31/03/2016;0,15;0,16;13;33;53;;5;2
30/03/2016;;;3;25;30;12;7;2
29/03/2016;0,16;0,15;3;19;23;6;4;2
28/03/2016;0,15;;1;10;11;6;3;2
27/03/2016;;;1;8;9;5;3;2
26/03/2016;;;2;12;15;10;7;2
25/03/2016;0,24;0,23;6;26;35;27;15;2
24/03/2016;0,18;0,17;3;19;23;32;12;2
23/03/2016;0,18;0,18;13;43;63;24;12;3
22/03/2016;0,18;0,18;11;34;50;23;13;2
21/03/2016;0,23;0,24;12;30;47;20;13;2
20/03/2016;0,19;0,18;4;25;31;6;4;2
19/03/2016;0,21;0,21;5;25;32;9;6;2
18/03/2016;0,28;0,28;19;35;63;27;15;3
17/03/2016;0,22;0,21;10;32;47;27;12;2
16/03/2016;0,27;0,29;7;40;51;29;15;2
15/03/2016;0,28;0,27;12;46;65;16;10;3
14/03/2016;0,23;0,22;6;32;42;20;13;2
13/03/2016;0,21;0,21;6;27;36;36;24;2
12/03/2016;0,18;0,17;5;22;29;20;12;2
11/03/2016;0,18;0,19;14;33;55;10;6;2
10/03/2016;0,2;;12;33;51;;3;2
09/03/2016;0,15;0,15;4;17;23;;4;2
08/03/2016;0,18;;8;33;44;7;5;2
07/03/2016;0,18;0,18;10;34;49;5;3;2
06/03/2016;0,17;;3;19;24;5;3;2
05/03/2016;0,16;;3;15;20;;2;2
04/03/2016;0,16;;5;24;32;9;6;2
03/03/2016;0,19;;8;36;49;;8;2
02/03/2016;0,27;0,28;20;35;65;20;12;2
01/03/2016;0,21;;11;32;49;15;8;2
29/02/2016;0,18;0,19;15;34;58;24;9;2
28/02/2016;0,19;0,2;5;17;25;15;7;2
27/02/2016;0,2;0,18;4;21;28;5;2;2
26/02/2016;0,17;0,16;5;26;34;6;;2
25/02/2016;0,17;0,18;7;27;38;7;;2
24/02/2016;0,21;0,22;13;29;48;15;10;2
23/02/2016;0,27;0,25;20;43;73;25;13;2
22/02/2016;0,29;0,31;27;43;84;79;29;3
21/02/2016;0,32;0,32;18;42;70;18;12;3
20/02/2016;0,3;0,31;19;39;68;16;9;3
19/02/2016;0,31;0,28;28;47;90;20;11;3
18/02/2016;0,21;0,2;7;31;41;7;5;2
17/02/2016;0,23;;11;30;45;12;7;2
16/02/2016;0,23;;13;34;55;10;6;2
15/02/2016;0,19;0,17;17;37;63;7;4;2
14/02/2016;0,14;0,14;2;12;16;5;3;2
13/02/2016;0,16;0,19;5;23;31;;4;2
12/02/2016;0,22;0,21;11;30;47;7;5;2
11/02/2016;0,2;0,19;14;43;65;13;8;2
10/02/2016;0,18;0,18;10;35;50;6;4;2
09/02/2016;0,13;0,14;3;17;22;5;3;2
08/02/2016;0,16;0,15;2;8;11;5;3;2
07/02/2016;0,14;;2;11;14;4;3;2
06/02/2016;0,29;0,32;20;35;64;25;15;2
05/02/2016;0,36;0,33;47;49;122;27;16;3
04/02/2016;0,31;0,27;32;43;92;16;9;3
03/02/2016;0,18;0,18;11;35;52;10;6;2
02/02/2016;0,28;0,29;31;41;89;32;20;3
01/02/2016;0,29;0,32;37;42;98;22;13;3
31/01/2016;0,26;0,22;16;28;53;14;10;2
30/01/2016;0,24;0,27;16;33;57;13;8;2
29/01/2016;0,21;0,19;16;36;61;14;7;2
28/01/2016;0,21;0,2;11;37;53;10;10;2
27/01/2016;0,15;0,15;5;17;25;12;7;2
26/01/2016;0,19;0,21;10;23;38;;8;2
25/01/2016;0,4;0,43;55;36;121;37;22;3
24/01/2016;0,32;0,33;29;28;72;19;14;2
23/01/2016;0,48;0,48;61;37;131;20;14;3
22/01/2016;0,45;0,41;71;50;159;22;15;3
21/01/2016;0,3;0,3;32;45;93;17;11;2
20/01/2016;0,3;0,28;30;48;94;21;10;2
19/01/2016;0,2;0,19;17;40;67;13;7;2
18/01/2016;0,18;0,17;8;29;41;6;4;2
17/01/2016;0,24;0,28;14;31;52;13;9;2
16/01/2016;0,24;;10;36;50;8;4;2
15/01/2016;0,21;;12;36;55;5;4;2
14/01/2016;0,21;0,19;8;27;39;6;4;2
13/01/2016;0,26;0,29;52;48;127;20;12;5
12/01/2016;0,24;;10;32;47;6;3;5
11/01/2016;0,16;0,16;;;;;3;4
10/01/2016;0,15;0,16;;;;;2;4
09/01/2016;0,15;0,15;5;9;16;3;2;4
08/01/2016;0,17;0,18;6;15;23;4;3;4
07/01/2016;0,21;0,21;5;11;19;;2;4
06/01/2016;0,18;0,18;5;11;19;;2;4
05/01/2016;0,17;0,17;9;28;42;4;2;4
04/01/2016;0,17;0,19;7;29;40;4;3;4
03/01/2016;0,21;0,21;6;14;22;5;3;4
02/01/2016;0,19;0,19;11;22;39;9;5;4
01/01/2016;0,28;0,3;15;28;50;22;10;5
